歌华有线,#genre#
河南卫视,http://tv.sillypig.fun:5678/ghyx.php?id=HeNanHD_6000
河北卫视,http://tv.sillypig.fun:5678/ghyx.php?id=HeBeiHD_6000
江西卫视,http://tv.sillypig.fun:5678/ghyx.php?id=JiangXiHD_6000
天津卫视,http://tv.sillypig.fun:5678/ghyx.php?id=TianJinHD_6000
重庆卫视,http://tv.sillypig.fun:5678/ghyx.php?id=ChongQingHD_6000
黑龙江卫视,http://tv.sillypig.fun:5678/ghyx.php?id=HeiLongJiangHD_6000
吉林卫视,http://tv.sillypig.fun:5678/ghyx.php?id=JiLinWeiShiHD_6000
海南卫视,http://tv.sillypig.fun:5678/ghyx.php?id=LvYouWeiShiHD_6000
内蒙古卫视,http://tv.sillypig.fun:5678/ghyx.php?id=NeiMengGuHD_2000
山西卫视,http://tv.sillypig.fun:5678/ghyx.php?id=ShanXiHD_2000
陕西卫视,http://tv.sillypig.fun:5678/ghyx.php?id=ShannXiHD_2000
云南卫视,http://tv.sillypig.fun:5678/ghyx.php?id=YunNanHD_2000
兵团卫视,http://tv.sillypig.fun:5678/ghyx.php?id=BTTVHD_2000
贵州卫视,http://tv.sillypig.fun:5678/ghyx.php?id=GuiZhouHD_2000
青海卫视,http://tv.sillypig.fun:5678/ghyx.php?id=QingHaiHD_2000
西藏卫视,http://tv.sillypig.fun:5678/ghyx.php?id=XiZangHD_2000
新疆卫视,http://tv.sillypig.fun:5678/ghyx.php?id=XinJiangHD_2000
甘肃卫视,http://tv.sillypig.fun:5678/ghyx.php?id=GanSuHD_2000
厦门卫视,http://tv.sillypig.fun:5678/ghyx.php?id=XiaMenHD_2000
宁夏卫视,http://tv.sillypig.fun:5678/ghyx.php?id=NingXiaHD_2000
北京卫视BTV-1,http://tv.sillypig.fun:5678/ghyx.php?id=BTV1HD_6000
北京文艺BTV-2,http://tv.sillypig.fun:5678/ghyx.php?id=BTVwenyiHD_6000
北京科教BTV-3,http://tv.sillypig.fun:5678/ghyx.php?id=BTVKeJiaoHD_6000
北京科教BTV-3,http://tv.sillypig.fun:5678/ghyx.php?id=BTV3HD_2000
北京影视BTV-4,http://tv.sillypig.fun:5678/ghyx.php?id=BTV4HD_6000
北京财经BTV-5,http://tv.sillypig.fun:5678/ghyx.php?id=BTVCaiJingHD_6000
北京财经BTV-5,http://tv.sillypig.fun:5678/ghyx.php?id=BTV5HD_2000
北京体育休闲BTV-6,http://tv.sillypig.fun:5678/ghyx.php?id=BTVjishiHD_6000
北京生活BTV-7,http://tv.sillypig.fun:5678/ghyx.php?id=BTVShengHuoHD_6000
北京生活BTV-7,http://tv.sillypig.fun:5678/ghyx.php?id=BTV7HD_2000
北京青年BTV-8,http://tv.sillypig.fun:5678/ghyx.php?id=BTVQingNianHD_6000
北京青年BTV-8,http://tv.sillypig.fun:5678/ghyx.php?id=BTV8HD_2000
北京新闻BTV-9,http://tv.sillypig.fun:5678/ghyx.php?id=BTV9HD_6000
北京卡酷BTV-10,http://tv.sillypig.fun:5678/ghyx.php?id=BTV10HD_2000
京视剧场,http://tv.sillypig.fun:5678/ghyx.php?id=JinShiJuChangHD_2000
生态环境,http://tv.sillypig.fun:5678/ghyx.php?id=XinYuLeHD_2000
中国天气,http://tv.sillypig.fun:5678/ghyx.php?id=ChinaQiXiangPinDaoHD_2000
乐游,http://tv.sillypig.fun:5678/ghyx.php?id=QuanJiShiHD_6000
CETV1,http://tv.sillypig.fun:5678/ghyx.php?id=CETV1HD_6000
CETV3,http://tv.sillypig.fun:5678/ghyx.php?id=CETV3HD_2000
CETV4,http://tv.sillypig.fun:5678/ghyx.php?id=CETV4HD_2000
早期教育,http://tv.sillypig.fun:5678/ghyx.php?id=ZaoQiJiaoYuHD_2000
爱家购物,http://tv.sillypig.fun:5678/ghyx.php?id=AiJiaGouWuHD_6000
时尚购物,http://tv.sillypig.fun:5678/ghyx.php?id=ShiShangGouWuHD_2000
优购物,http://tv.sillypig.fun:5678/ghyx.php?id=YouGouWuHD_2000
家有购物,http://tv.sillypig.fun:5678/ghyx.php?id=JiaYouGouWuHD_2000
动漫秀场,http://tv.sillypig.fun:5678/ghyx.php?id=DongManXiuChangHD_6000
游戏风云,http://tv.sillypig.fun:5678/ghyx.php?id=YouXiFengYunHD_6000
四海钓鱼,http://tv.sillypig.fun:5678/ghyx.php?id=SiHaiDiaoYuHD_2000
法治天地,http://tv.sillypig.fun:5678/ghyx.php?id=FaZhiTianDiHD_2000
置业频道,http://tv.sillypig.fun:5678/ghyx.php?id=ZhiYePinDaoHD_2000
中华美食,http://tv.sillypig.fun:5678/ghyx.php?id=ZhongHuaMeiShiHD_2000
环球旅游,http://tv.sillypig.fun:5678/ghyx.php?id=HuanQiuLvYouHD_2000
中视购物,http://tv.sillypig.fun:5678/ghyx.php?id=ZhongShiGouWuHD_2000
央广购物,http://tv.sillypig.fun:5678/ghyx.php?id=YangShiGouWuHD_2000
聚鲨环球精选,http://tv.sillypig.fun:5678/ghyx.php?id=GHSHD_6000
动感音乐,http://tv.sillypig.fun:5678/ghyx.php?id=DongGanYinYueHD_2000
收藏天下,http://tv.sillypig.fun:5678/ghyx.php?id=ShouCangTianXiaHD_2000
东方财经,http://tv.sillypig.fun:5678/ghyx.php?id=DongFangCaiJingHD_6000
中华特产,http://tv.sillypig.fun:5678/ghyx.php?id=KaoShiZaiXianHD_2000
优优宝贝,http://tv.sillypig.fun:5678/ghyx.php?id=YouYouBaoBeiHD_2000
弈坛春秋,http://tv.sillypig.fun:5678/ghyx.php?id=YiTanChunQiuHD_2000
老故事,http://tv.sillypig.fun:5678/ghyx.php?id=LaoGuShiHD_2000
发现之旅,http://tv.sillypig.fun:5678/ghyx.php?id=FaXianZhiLvHD_2000
财富天下,http://tv.sillypig.fun:5678/ghyx.php?id=CaiFuTianXiaHD_2000
环球奇观,http://tv.sillypig.fun:5678/ghyx.php?id=HuanQiuQiGuanHD_2000
天元围棋,http://tv.sillypig.fun:5678/ghyx.php?id=TianYuanWeiQiHD_2000
书画频道,http://tv.sillypig.fun:5678/ghyx.php?id=ShuHuaPinDaoHD_2000
茶频道,http://tv.sillypig.fun:5678/ghyx.php?id=ChaPinDaoHD_2000
足球频道,http://tv.sillypig.fun:5678/ghyx.php?id=ZuQiuHD_6000

百视通,#genre#
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000/mnf.m3u8
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000/mnf.m3u8
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000/mnf.m3u8
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000/mnf.m3u8
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000/mnf.m3u8
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000/mnf.m3u8
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000/mnf.m3u8
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000/mnf.m3u8
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000/mnf.m3u8
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000/mnf.m3u8
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000/mnf.m3u8
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000/mnf.m3u8
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000/mnf.m3u8
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000/mnf.m3u8
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000/mnf.m3u8
CCTV16-4K,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000/mnf.m3u8
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000/mnf.m3u8
CCTV-4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000/mnf.m3u8
江苏卫视,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000/mnf.m3u8
广西卫视,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000/mnf.m3u8
四川卫视,https://live.v1.mk/api/bestv.php?id=scwshd/8000000/mnf.m3u8
东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000/mnf.m3u8
湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000/mnf.m3u8
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000/mnf.m3u8
东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000/mnf.m3u8
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000/mnf.m3u8
天津卫视,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000/mnf.m3u8
辽宁卫视,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000/mnf.m3u8
安徽卫视,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000/mnf.m3u8
广东卫视,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000/mnf.m3u8
深圳卫视,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000/mnf.m3u8
湖北卫视,https://live.v1.mk/api/bestv.php?id=hubeiws8m/8000000/mnf.m3u8
吉林卫视,https://live.v1.mk/api/bestv.php?id=jlwshd8m/8000000/mnf.m3u8
山东卫视,https://live.v1.mk/api/bestv.php?id=sdws8m/8000000/mnf.m3u8
江西卫视,https://live.v1.mk/api/bestv.php?id=jxws8m/8000000/mnf.m3u8
河南卫视,https://live.v1.mk/api/bestv.php?id=hnwshd8m/8000000/mnf.m3u8
河北卫视,https://live.v1.mk/api/bestv.php?id=hbwshd8m/8000000/mnf.m3u8
甘肃卫视,https://live.v1.mk/api/bestv.php?id=gswshd8m/8000000/mnf.m3u8
重庆卫视,https://live.v1.mk/api/bestv.php?id=cqws8m/8000000/mnf.m3u8
东南卫视,https://live.v1.mk/api/bestv.php?id=dnwshd8m/8000000/mnf.m3u8
云南卫视,https://live.v1.mk/api/bestv.php?id=ynwshd8m/8000000/mnf.m3u8
贵州卫视,https://live.v1.mk/api/bestv.php?id=gzwshd8m/8000000/mnf.m3u8
海南卫视,https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000/mnf.m3u8
欢笑剧场4k,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000/mnf.m3u8
欢笑剧场,https://live.v1.mk/api/bestv.php?id=hxjc8m/8000000/mnf.m3u8
劲爆体育,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000/mnf.m3u8
快乐垂钓,https://live.v1.mk/api/bestv.php?id=klcd8m/8000000/mnf.m3u8
金鹰纪实,https://live.v1.mk/api/bestv.php?id=jyjs8m/8000000/mnf.m3u8
戏曲精选,https://live.v1.mk/api/bestv.php?id=xqjx8m/8000000/mnf.m3u8
东方影视,https://live.v1.mk/api/bestv.php?id=dfyshd8m/8000000/mnf.m3u8
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000/mnf.m3u8
全纪实,https://live.v1.mk/api/bestv.php?id=qjshd8m/8000000/mnf.m3u8
新视觉,https://live.v1.mk/api/bestv.php?id=xsjhd8m/8000000/mnf.m3u8
中国教育-1,https://live.v1.mk/api/bestv.php?id=zgjy1t8m/8000000/mnf.m3u8
中国教育-4,https://live.v1.mk/api/bestv.php?id=zgjy4hd8m/8000000/mnf.m3u8
卡酷少儿,https://live.v1.mk/api/bestv.php?id=kkse8m/8000000/mnf.m3u8
纪实科教,https://live.v1.mk/api/bestv.php?id=dajs8m/8000000/mnf.m3u8
茶频道,https://live.v1.mk/api/bestv.php?id=cpdhdavs8m/8000000/mnf.m3u8
足球高清,https://live.v1.mk/api/bestv.php?id=zqpd8m/8000000/mnf.m3u8
炫动卡通,https://live.v1.mk/api/bestv.php?id=hhxd8m/8000000/mnf.m3u8

爱尚源,#genre#
CCTV1,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV2,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV3,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240316_1/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4欧洲,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240363_1/playlist.m3u8?CONTENTID=00000110240363_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV5,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240246_1/playlist.m3u8?CONTENTID=00000110240246_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV5+,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240128_1/playlist.m3u8?CONTENTID=00000110240128_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV6,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240247_1/playlist.m3u8?CONTENTID=00000110240247_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV7,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240248_1/playlist.m3u8?CONTENTID=00000110240248_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV8,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240249_1/playlist.m3u8?CONTENTID=00000110240249_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV9,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240250_1/playlist.m3u8?CONTENTID=00000110240250_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV9,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240478_1/playlist.m3u8?CONTENTID=00000110240478_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV10,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240251_1/playlist.m3u8?CONTENTID=00000110240251_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV11,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240328_1/playlist.m3u8?CONTENTID=00000110240328_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV12,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240252_1/playlist.m3u8?CONTENTID=00000110240252_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV13,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240502_1/playlist.m3u8?CONTENTID=00000110240502_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV14,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240253_1/playlist.m3u8?CONTENTID=00000110240253_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
